id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount
u6b7Cix4zrQ,99% Python Developers don't know this - AI will change Python Development!🔥,"Python Udemy Course: https://goharry.in/python
Get this course at 90% Discount if you use this link

My Python course is LIVE on Udemy! This course is perfect for beginners

I’ll be adding advanced AI projects soon, including working with the Eleven Labs API, creating AI-powered tools, and adding practice tests to enhance learning.

Right now, the course is available at a 90% discount for early students. Don't miss out—enroll before the price increases. 

More updates and bonus content coming soon. 
Comment below with the AI-powered project you’d like to see in the course.",2025-03-14T09:50:49Z,,27,en,en-IN,https://i.ytimg.com/vi/u6b7Cix4zrQ/default.jpg,https://i.ytimg.com/vi/u6b7Cix4zrQ/hqdefault.jpg,PT10M2S,11378,385,49,public,UC7btqG2Ww0_2LwuQxpvo2HQ,ProgrammingWithHarry,"Programming With Harry is a place where you can learn various concepts related to programming for free. 
My Udemy Python course is live now: https://goharry.in/python

",IN,https://yt3.ggpht.com/ytc/AIdro_l9-HUf8RIfC8jJBhBi2dlVVLDjPkoRTHyXdPENsllX490=s800-c-k-c0x00ffffff-no-rj,276000,113
oAYuGx8BINI,FREE! FREE! FREE!!!,"Python Udemy Course: https://goharry.in/python
Get this course at 90% Discount if you use this link",2024-12-19T14:09:35Z,,27,en,en-IN,https://i.ytimg.com/vi/oAYuGx8BINI/default.jpg,https://i.ytimg.com/vi/oAYuGx8BINI/hqdefault.jpg,PT40S,5098,330,10,public,UC7btqG2Ww0_2LwuQxpvo2HQ,ProgrammingWithHarry,"Programming With Harry is a place where you can learn various concepts related to programming for free. 
My Udemy Python course is live now: https://goharry.in/python

",IN,https://yt3.ggpht.com/ytc/AIdro_l9-HUf8RIfC8jJBhBi2dlVVLDjPkoRTHyXdPENsllX490=s800-c-k-c0x00ffffff-no-rj,276000,113
u0BA_nM1hSc,What Sets Google Workspace Apart - Google Workspace Summit 2024,"Python Udemy Course: https://goharry.in/python
Get this course at 90% Discount if you use this link

I got a chance to visit the Google office in Bangalore and interact with some of the best minds at Google. Here are some of the clips from my Bangalore Visit for the Google Workspace Summit 2024",2024-12-17T16:14:49Z,,27,en,en-IN,https://i.ytimg.com/vi/u0BA_nM1hSc/default.jpg,https://i.ytimg.com/vi/u0BA_nM1hSc/hqdefault.jpg,PT36S,6518,220,4,public,UC7btqG2Ww0_2LwuQxpvo2HQ,ProgrammingWithHarry,"Programming With Harry is a place where you can learn various concepts related to programming for free. 
My Udemy Python course is live now: https://goharry.in/python

",IN,https://yt3.ggpht.com/ytc/AIdro_l9-HUf8RIfC8jJBhBi2dlVVLDjPkoRTHyXdPENsllX490=s800-c-k-c0x00ffffff-no-rj,276000,113
2R4AIuAw9YU,The Best Network monitoring and device blocking app for PC and mobile | Trying the Fing Wifi app,"Python Udemy Course: https://goharry.in/python
Get this course at 90% Discount if you use this link


Try Fing: https://www.fing.com/
Fing Local API: https://www.fing.com/developers/local-api/
Installing Fing on a Raspberry Pi: https://help.fing.com/hc/en-us/articles/14429872073244-How-to-install-the-Fing-Agent-on-Raspberry-Pi",2024-10-20T05:30:01Z,,27,en,en-IN,https://i.ytimg.com/vi/2R4AIuAw9YU/default.jpg,https://i.ytimg.com/vi/2R4AIuAw9YU/hqdefault.jpg,PT14M24S,9901,179,12,public,UC7btqG2Ww0_2LwuQxpvo2HQ,ProgrammingWithHarry,"Programming With Harry is a place where you can learn various concepts related to programming for free. 
My Udemy Python course is live now: https://goharry.in/python

",IN,https://yt3.ggpht.com/ytc/AIdro_l9-HUf8RIfC8jJBhBi2dlVVLDjPkoRTHyXdPENsllX490=s800-c-k-c0x00ffffff-no-rj,276000,113
-DWYKXE0qy0,How to Scrape Amazon Using AI (with least manual coding) 🔥,"Get my Python Udemy course at 90% Discount: https://goharry.in/python

This beginner-friendly course covers everything from the basics to real-world applications.

💡 Coming Soon: Advanced AI projects—working with the Eleven Labs API, building AI-powered tools, and practice tests to sharpen your skills.

🎯 Limited Time: Get 90% off if you enroll now—prices will go up soon!

Checkout OxyCopilot AI: https://oxylabs.go2cloud.org/aff_c?offer_id=7&aff_id=842&url_id=143",2024-10-09T12:30:00Z,,27,en,en-IN,https://i.ytimg.com/vi/-DWYKXE0qy0/default.jpg,https://i.ytimg.com/vi/-DWYKXE0qy0/hqdefault.jpg,PT10M,3050,83,9,public,UC7btqG2Ww0_2LwuQxpvo2HQ,ProgrammingWithHarry,"Programming With Harry is a place where you can learn various concepts related to programming for free. 
My Udemy Python course is live now: https://goharry.in/python

",IN,https://yt3.ggpht.com/ytc/AIdro_l9-HUf8RIfC8jJBhBi2dlVVLDjPkoRTHyXdPENsllX490=s800-c-k-c0x00ffffff-no-rj,276000,113
OAVOl-aSOJc,"Lets build a Markdown blog using Next.js, Shadcn UI, Rehype and Tailwind CSS 🔥","Python Udemy Course: https://goharry.in/python
Get this course at 90% Discount if you use this link
This beginner-friendly course covers everything from the basics to real-world applications.

💡 Coming Soon: Advanced AI projects—working with the Eleven Labs API, building AI-powered tools, and practice tests to sharpen your skills.

🎯 Limited Time: Get 90% off if you enroll now—prices will go up soon!

Let me know what you think about the blog we created and/or any followup videos you would like to watch
Source Code: https://github.com/ProgrammingWithHarry/awesome-blog-nextjs

TimeStamp:
00:00:00 - Introduction
00:01:38 - Getting Started with the Blog
00:01:59 - Creating a New Application
00:03:33 - Installing and Configuring Shadcn UI
00:03:33 - Creating the Blog Post Page
00:10:32 - Creating the Blog Page
00:14:39 - Building the Page UI
00:15:10 - Creating a Max Width Wrapper
00:17:08 - Understanding the CN Function
00:22:51 - Creating the Navbar Component
00:25:13 - Styling the Navbar
00:29:43 - Adding Buttons to the Navbar
00:30:26 - Adding Button Variants
00:31:06 - Aligning Buttons Vertically
00:31:13 - Adding Space and Padding
00:31:59 - Adding Dark and Light Mode Toggle
00:32:20 - Installing Next Themes Package
00:32:36 - Creating Theme Provider
00:33:53 - Troubleshooting Theme Provider Errors
00:35:28 - Adding Mode Toggle Button
00:39:15 - Fixing Mobile View
00:40:22 - Adding Hamburger Icon
00:45:57 - Installing Sheets and Adjusting Navbar
00:47:37 - Creating a Responsive Navbar
00:49:06 - Creating the Blog Page
00:49:32 - Creating the Contact Page
00:50:07 - Using Max Width Wrapper for Blog Page
00:50:38 - Using AI to Generate Blogs
00:52:25 - Creating Sample Blogs
00:53:19 - Adding Sample Blogs to Blog Page
00:58:25 - Adding Images to Blogs
01:01:03 - Using Tailwind CSS for Blog Styling 
01:05:02 - Creating Blog Page
01:05:32 - Adding Content to Blog Page
01:08:35 - Fetching Data Using Slug
01:10:20 - Storing Blog Data in File System
01:10:43 - Parsing Markdown Using Gray Matter
01:12:32 - Understanding Unified, Rehype, and Remark
01:14:24 - Installing Necessary Packages
01:16:40 - Starting from Scratch with UnifyJS
01:17:44 - Installing and Importing Gray Matter
01:18:29 - Creating the File Path
01:19:09 - Reading the Directory with FS
01:20:00 - Parsing Content with Gray Matter
01:20:39 - Creating HTML Content
01:22:25 - Debugging Content Rendering
01:24:39 - Styling with Tailwind Typography
01:27:29 - Creating 'On This Page' Component  
01:34:26 - Creating HTML Content
01:34:32 - Styling 'On This Page' Component
01:39:17 - Fixing Scroll Padding
01:40:50 - Creating Two Separate Columns
01:42:13 - Adding Class Name to Component
01:43:19 - Removing Tailwind Typography
01:44:24 - Fixing Scroll Issue
01:46:01 - Installing Rehype Prettycode
01:47:02 - Importing and Using Rehype Prettycode
01:48:09 - Checking Responsiveness and Dark Theme
01:49:02 - Adding Copy Button
01:50:49 - Adding More Blogs
01:53:24 - Fixing Display Flex and Width
01:56:36 - Updating Headings
01:58:23 - Adding Home Button to Navbar
01:58:47 - Using Tailwind CSS Templates
02:02:22 - Implementing Dark Theme 
02:07:01 - Creating About and Contact Page
02:07:32 - Making Blog Page Dynamic
02:14:35 - Adding React Top Loading Bar
02:17:33 - Adding Progress to Loading Bar
02:18:19 - Adjusting Loading Bar Progress
02:18:33 - Troubleshooting Loading Bar Issue
02:20:50 - Changing Loading Bar Color
02:22:08 - Changing the Title Using Metadata
02:24:07 - Adding Metadata to Blog Post
02:27:45 - Highlighting Words and Lines in Code
02:32:17 - Adding Typing Effect with Type.js 
02:34:48 - Conclusion and Future Video Suggestions",2024-08-24T12:30:26Z,,27,en,en-IN,https://i.ytimg.com/vi/OAVOl-aSOJc/default.jpg,https://i.ytimg.com/vi/OAVOl-aSOJc/hqdefault.jpg,PT2H35M15S,20608,700,51,public,UC7btqG2Ww0_2LwuQxpvo2HQ,ProgrammingWithHarry,"Programming With Harry is a place where you can learn various concepts related to programming for free. 
My Udemy Python course is live now: https://goharry.in/python

",IN,https://yt3.ggpht.com/ytc/AIdro_l9-HUf8RIfC8jJBhBi2dlVVLDjPkoRTHyXdPENsllX490=s800-c-k-c0x00ffffff-no-rj,276000,113
0CgqT6UsR6M,Tech Talks with Google Kubernetes Lead & Director Customer Engineering | Chen and Subram,"Python Udemy Course: https://goharry.in/python
Get this course at 90% Discount if you use this link

This beginner-friendly course covers everything from the basics to real-world applications.

💡 Coming Soon: Advanced AI projects—working with the Eleven Labs API, building AI-powered tools, and practice tests to sharpen your skills.

🎯 Limited Time: Get 90% off if you enroll now—prices will go up soon!

Google Kubernetes lead Chen Goldberg and Subram Natarajan (Director of Customer Engineering) discuss technology and AI with Harry
I got a chance to meet them at Google IO Connect Bangalore",2024-07-24T05:30:00Z,,27,en,en-IN,https://i.ytimg.com/vi/0CgqT6UsR6M/default.jpg,https://i.ytimg.com/vi/0CgqT6UsR6M/hqdefault.jpg,PT4M51S,4063,172,20,public,UC7btqG2Ww0_2LwuQxpvo2HQ,ProgrammingWithHarry,"Programming With Harry is a place where you can learn various concepts related to programming for free. 
My Udemy Python course is live now: https://goharry.in/python

",IN,https://yt3.ggpht.com/ytc/AIdro_l9-HUf8RIfC8jJBhBi2dlVVLDjPkoRTHyXdPENsllX490=s800-c-k-c0x00ffffff-no-rj,276000,113
XG9UfosbpNQ,AI Talks with Google Deepmind Director Dr. Manish Gupta 🔥,"Python Udemy Course: https://goharry.in/python
Get this course at 90% Discount if you use this link

Dr. Manish Gupta is Director, Google DeepMind, based in Bangalore.
I got a chance to meet Dr Manish Gupta at Google IO Connect Bangalore",2024-07-23T12:03:06Z,,27,en,en-IN,https://i.ytimg.com/vi/XG9UfosbpNQ/default.jpg,https://i.ytimg.com/vi/XG9UfosbpNQ/hqdefault.jpg,PT10M6S,2493,132,12,public,UC7btqG2Ww0_2LwuQxpvo2HQ,ProgrammingWithHarry,"Programming With Harry is a place where you can learn various concepts related to programming for free. 
My Udemy Python course is live now: https://goharry.in/python

",IN,https://yt3.ggpht.com/ytc/AIdro_l9-HUf8RIfC8jJBhBi2dlVVLDjPkoRTHyXdPENsllX490=s800-c-k-c0x00ffffff-no-rj,276000,113
zbz_q7uUPss,How to make a Wordpress Travel Website using the WP Travel Engine 🔥,"Python Udemy Course: https://goharry.in/python
Get this course at 90% Discount if you use this link

WP Travel Engine plugin simplifies the process of building your own travel and tour website with its user-friendly features. Even with no technical skills, you can effortlessly create and sell appealing travel packages within minutes. From multi-day adventures to day trips and more, the plugin allows you to design and offer a variety of itineraries. Its intuitive itinerary builder makes planning each day hassle-free, while the built-in booking system enables you to accept bookings and payments instantly. With translation-ready features, you can extend your website's reach globally and attract a diverse audience of travelers
Try WP Travel Engine: https://bit.ly/4dW5ia0",2024-05-28T12:30:39Z,,27,en,en-IN,https://i.ytimg.com/vi/zbz_q7uUPss/default.jpg,https://i.ytimg.com/vi/zbz_q7uUPss/hqdefault.jpg,PT18M41S,12132,213,16,public,UC7btqG2Ww0_2LwuQxpvo2HQ,ProgrammingWithHarry,"Programming With Harry is a place where you can learn various concepts related to programming for free. 
My Udemy Python course is live now: https://goharry.in/python

",IN,https://yt3.ggpht.com/ytc/AIdro_l9-HUf8RIfC8jJBhBi2dlVVLDjPkoRTHyXdPENsllX490=s800-c-k-c0x00ffffff-no-rj,276000,113
qxdEvuyLoEQ,Superwall: Quickly build & test paywalls without shipping updates,"Python Udemy Course: https://goharry.in/python
Get this course at 90% Discount if you use this link

CheckOut Superwall: https://rebrand.ly/SuperwallHarry",2024-04-25T11:30:19Z,,27,en,en-IN,https://i.ytimg.com/vi/qxdEvuyLoEQ/default.jpg,https://i.ytimg.com/vi/qxdEvuyLoEQ/hqdefault.jpg,PT14M53S,5305,90,6,public,UC7btqG2Ww0_2LwuQxpvo2HQ,ProgrammingWithHarry,"Programming With Harry is a place where you can learn various concepts related to programming for free. 
My Udemy Python course is live now: https://goharry.in/python

",IN,https://yt3.ggpht.com/ytc/AIdro_l9-HUf8RIfC8jJBhBi2dlVVLDjPkoRTHyXdPENsllX490=s800-c-k-c0x00ffffff-no-rj,276000,113
